id,make,model,derivative,bodyType,size,fuel,transmission,powerKw,payloadKg,loadLengthMm,loadHeightMm,rangeMiles,inStock,deliveryEta,images,headline,monthlyFromExVat,terms.termMonths,terms.mileagesPerYear,terms.initialPaymentMultiples,hotOffer,cashPriceExVat,balloonExVat,baseTermMonths,baseMileage,baseInitialMultiple
ford-transit-custom-280-leader-l1-136ps-manual-white,Ford,Transit Custom,280 Leader L1 136ps Manual (White),Panel Van,Medium,Diesel,Manual,,,,,,true,In stock,"/vans/ford-transit-custom-280-leader-l1-136ps-manual-white-front-right.jpeg|/vans/ford-transit-custom-280-leader-l1-136ps-manual-white-right.jpeg|/vans/ford-transit-custom-280-leader-l1-136ps-manual-white-back.jpeg|/vans/ford-transit-custom-280-leader-l1-136ps-manual-white-back-left.jpeg|/vans/ford-transit-custom-280-leader-l1-136ps-manual-white-back-left-high.jpeg|/vans/ford-transit-custom-280-leader-l1-136ps-manual-white-front-left.jpeg|/vans/ford-transit-custom-280-leader-l1-136ps-manual-white-front-left-high.jpeg|/vans/ford-transit-custom-280-leader-l1-136ps-manual-white-front.jpeg",Brand new Transit Custom Leader in White.,379,"36|48|60","8000|10000|15000|20000","1|3|6|9|12",,25500,10000,60,10000,3
ford-transit-custom-280-limited-l1-136ps-manual-magnetic,Ford,Transit Custom,280 Limited L1 136ps Manual (Magnetic),Panel Van,Medium,Diesel,Manual,,,,,,true,In stock,"/vans/ford-transit-custom-280-limited-l1-136ps-manual-magnetic-front-right.jpeg|/vans/ford-transit-custom-280-limited-l1-136ps-manual-magnetic-right.jpeg|/vans/ford-transit-custom-280-limited-l1-136ps-manual-magnetic-back-right.jpeg|/vans/ford-transit-custom-280-limited-l1-136ps-manual-magnetic-back.jpeg|/vans/ford-transit-custom-280-limited-l1-136ps-manual-magnetic-back-left-high.jpeg|/vans/ford-transit-custom-280-limited-l1-136ps-manual-magnetic-left-high.jpeg|/vans/ford-transit-custom-280-limited-l1-136ps-manual-magnetic-front-left.jpeg|/vans/ford-transit-custom-280-limited-l1-136ps-manual-magnetic-front-left-high.jpeg|/vans/ford-transit-custom-280-limited-l1-136ps-manual-magnetic-front.jpeg",Top-spec Limited trim in Magnetic grey.,422,"36|48|60","8000|10000|15000|20000","1|3|6|9|12",,28300,11000,60,10000,3
ford-transit-custom-320-limited-l1-170ps-automatic-black,Ford,Transit Custom,320 Limited L1 170ps Automatic (Black),Panel Van,Medium,Diesel,Automatic,,,,,,true,In stock,"/vans/ford-transit-custom-320-limited-l1-170ps-automatic-black-front-right.jpeg|/vans/ford-transit-custom-320-limited-l1-170ps-automatic-black-right.jpeg|/vans/ford-transit-custom-320-limited-l1-170ps-automatic-black-back-right.jpeg|/vans/ford-transit-custom-320-limited-l1-170ps-automatic-black-back.jpeg|/vans/ford-transit-custom-320-limited-l1-170ps-automatic-black-back-left-high.jpeg|/vans/ford-transit-custom-320-limited-l1-170ps-automatic-black-back-left.jpeg|/vans/ford-transit-custom-320-limited-l1-170ps-automatic-black-front-left.jpeg|/vans/ford-transit-custom-320-limited-l1-170ps-automatic-black-front-left-high.jpeg|/vans/ford-transit-custom-320-limited-l1-170ps-automatic-black-front.jpeg",170ps Auto — Limited in Black.,445,"36|48|60","8000|10000|15000|20000","1|3|6|9|12",,29500,11000,60,10000,3
ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-445,Ford,Transit Custom,320 Limited L2 136ps Manual (Grey Matter),Panel Van,Medium,Diesel,Manual,,,,,,true,In stock,"/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-front-right.jpeg|/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-right.jpeg|/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-back-right.jpeg|/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-back.jpeg|/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-back-left.jpeg|/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-back-left-high.jpeg|/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-front-left.jpeg|/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-front-left-high.jpeg|/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-front.jpeg",L2 Limited in Grey Matter.,445,"36|48|60","8000|10000|15000|20000","1|3|6|9|12",,29500,11000,60,10000,3
ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-465,Ford,Transit Custom,320 Limited L2 136ps Manual (Grey Matter),Panel Van,Medium,Diesel,Manual,,,,,,true,In stock,"/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-front-right.jpeg|/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-right.jpeg|/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-back-right.jpeg|/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-back.jpeg|/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-back-left.jpeg|/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-back-left-high.jpeg|/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-front-left.jpeg|/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-front-left-high.jpeg|/vans/ford-transit-custom-320-limited-l2-136ps-manual-grey-matter-front.jpeg",L2 Limited in Grey Matter.,445,"36|48|60","8000|10000|15000|20000","1|3|6|9|12",,30800,11500,60,10000,3
